PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  11/1972;21,354;16,024;27,539;28,629;34,919;35,515;25,935;22,842;20,384;19,432;19,197;21,354;19,906;18,498;19,906;21,846;30,859;31,999;61,356;55,893;40,739;33,739;30,015;26,200;24,112;22,842;23,094;21,599;20,145;18,730;---;16,024;27,153;61,356
  12/1972;21,846;29,458;28,355;25,147;30,296;31,427;27,539;24,112;22,093;20,384;19,906;21,354;23,856;20,384;17,583;16,464;16,024;15,374;18,268;18,038;17,583;15,806;18,038;24,887;41,372;34,327;24,887;29,458;30,859;33,155;27,810;15,374;24,067;41,372
  01/1973;25,409;22,093;21,846;24,369;22,591;23,601;22,342;20,145;34,622;29,736;33,155;37,632;41,690;35,216;33,155;34,327;40,739;44,923;45,580;36,115;41,055;33,155;35,216;33,155;30,859;53,062;67,017;44,923;43,943;40,424;36,719;20,145;35,123;67,017
  02/1973;42,329;39,797;35,515;36,719;37,938;46,574;43,618;45,580;37,632;32,286;28,082;25,935;29,180;37,938;44,595;39,173;36,719;42,009;39,173;43,295;41,055;43,618;30,859;31,427;29,736;30,296;30,859;28,904;---;---;---;25,935;36,816;46,574
  03/1973;28,629;27,000;27,810;25,409;30,859;34,622;25,671;23,856;36,416;53,413;46,242;33,155;30,859;28,082;26,465;24,887;23,601;22,342;21,846;21,354;20,867;23,094;38,863;39,797;32,864;31,143;28,355;26,732;25,147;23,601;27,000;20,867;29,354;53,413
  04/1973;33,739;51,323;54,825;47,241;38,245;36,115;32,575;36,719;35,515;36,719;33,739;41,372;46,242;37,632;34,919;34,327;37,632;31,999;30,296;28,904;33,155;34,919;34,327;29,458;27,810;26,465;25,409;24,627;23,347;23,094;---;23,094;34,756;54,825
  05/1973;22,591;22,093;21,110;21,354;22,342;25,147;23,094;20,867;20,867;24,112;26,200;27,810;27,000;23,347;22,591;21,599;21,846;20,384;21,354;19,906;18,963;25,935;29,180;25,935;21,110;23,347;23,347;21,846;21,110;20,625;20,145;18,963;22,812;29,180
  06/1973;19,669;19,197;18,730;18,268;18,038;17,810;17,583;17,356;17,132;16,908;16,685;16,464;16,243;16,024;16,024;15,806;15,806;16,243;18,038;17,583;16,908;16,243;15,590;14,947;15,374;15,374;16,464;16,908;18,268;17,356;---;14,947;16,968;19,669
  07/1973;16,024;15,806;20,625;27,000;21,599;20,625;19,669;18,963;18,268;17,356;16,908;16,243;15,806;15,374;14,947;14,524;14,106;13,899;13,693;13,488;13,284;14,106;17,810;15,806;14,735;14,735;14,106;15,160;17,583;17,583;15,160;13,284;16,613;27,000
  08/1973;14,524;14,106;13,488;13,284;13,284;14,735;14,524;13,899;13,284;12,681;12,482;12,285;12,089;12,285;12,089;12,285;12,089;11,894;11,894;11,508;11,316;11,127;10,938;10,751;10,564;10,564;10,564;10,564;10,564;10,196;10,014;10,014;12,125;14,735
  09/1973;10,014;12,089;15,590;17,810;13,488;12,482;11,508;10,564;11,316;11,127;11,127;10,751;10,196;10,014;10,564;10,564;10,380;10,196;9,475;9,298;9,122;8,775;9,298;9,475;9,475;9,833;10,196;9,475;9,122;9,122;---;8,775;10,748;17,810
  10/1973;8,775;8,433;8,775;8,775;8,433;8,433;10,938;10,564;13,899;18,038;19,432;40,739;33,155;20,867;19,432;16,243;14,524;12,482;12,089;15,374;18,498;13,284;11,700;10,564;12,089;15,374;14,314;13,488;12,881;12,285;12,881;8,433;14,734;40,739
  11/1973;18,730;23,347;25,147;22,342;20,867;19,906;17,583;15,590;13,488;12,089;11,316;12,482;16,243;21,110;19,197;15,160;15,374;29,180;38,554;37,326;31,427;25,935;22,342;24,627;20,145;18,498;18,038;16,243;14,524;13,693;---;11,316;20,350;38,554
  12/1973;13,693;12,881;12,089;17,132;33,739;30,859;34,919;54,117;60,247;59,513;46,242;32,286;28,629;37,022;34,919;28,082;26,465;36,719;51,669;63,221;67,786;74,868;79,331;72,873;59,513;48,926;46,242;41,372;41,055;46,574;67,017;12,089;43,871;79,331
  01/1974;91,578;103,139;89,848;75,672;60,616;49,948;41,055;52,364;60,247;63,973;60,247;67,786;81,393;86,426;86,851;88,844;94,256;96,847;88,080;72,590;64,908;57,864;53,650;49,861;50,486;51,113;51,743;70,817;87,319;80,571;72,590;41,055;71,054;103,139
  02/1974;64,908;65,594;63,205;52,376;47,390;45,566;41,703;39,674;37,963;36,279;35,447;36,279;36,837;37,398;32,993;32,190;31,393;39,100;39,674;34,622;31,657;39,674;39,387;33,533;34,622;30,603;28,788;27,516;---;---;---;27,516;39,870;65,594
  03/1974;26,763;27,013;31,393;30,080;27,516;25,770;29,302;37,117;37,963;32,725;31,923;37,963;36,001;35,447;44,964;37,398;34,076;39,100;45,566;59,515;68,014;73,303;78,731;68,362;55,581;57,536;49,861;44,365;39,961;36,279;34,622;25,770;42,394;78,731
