PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  06/1978;13,169;13,357;13,357;12,430;12,613;12,248;11,706;12,613;25,260;35,045;28,394;22,940;22,035;20,047;16,886;16,479;14,307;13,357;13,357;12,798;12,613;12,248;12,066;12,066;14,307;11,528;12,066;12,066;11,706;11,528;---;11,528;15,486;35,045
  07/1978;11,350;11,173;11,173;11,173;11,173;10,823;10,823;10,823;12,248;10,306;10,306;10,477;10,306;9,797;10,823;16,886;17,709;16,076;14,115;13,734;15,876;18,759;20,702;19,399;18,547;17,090;15,676;14,307;13,357;12,983;12,430;9,797;13,562;20,702
  08/1978;11,706;11,528;11,350;11,173;10,823;10,823;10,135;10,135;10,135;10,306;10,135;9,966;10,135;9,630;9,797;9,966;9,797;9,797;9,463;9,134;8,970;9,134;9,134;8,808;9,134;9,298;8,970;8,808;8,970;8,647;8,647;8,647;9,821;11,706
  09/1978;8,487;10,823;9,797;10,135;10,135;11,173;9,966;10,477;9,630;9,630;8,647;8,808;8,647;8,647;8,647;8,013;8,808;9,630;9,797;9,134;8,808;8,487;8,170;8,170;7,550;7,858;8,013;7,397;7,246;7,096;---;7,096;8,928;11,173
  10/1978;7,096;6,799;7,096;7,550;7,096;6,947;6,652;6,362;6,362;6,652;6,507;6,362;6,799;7,550;7,246;6,652;7,246;12,798;12,613;12,983;14,307;10,135;9,134;10,650;7,858;7,858;7,397;7,246;8,170;10,998;13,545;6,362;8,473;14,307
  11/1978;18,337;12,430;11,350;11,886;13,924;16,682;16,479;13,357;12,430;12,983;14,500;17,709;22,940;25,734;19,399;16,886;21,143;21,143;16,886;14,888;25,496;39,383;36,650;34,252;27,903;24,790;19,830;32,945;33,205;26,450;---;11,350;21,066;39,383
  12/1978;22,713;20,047;17,090;16,076;15,876;12,798;12,798;16,277;36,113;48,291;50,997;42,754;28,887;23,169;18,547;24,323;23,628;21,143;17,502;17,296;16,277;14,500;13,734;14,307;16,479;13,545;18,759;44,187;62,668;72,403;52,217;12,798;26,626;72,403
  01/1979;38,556;51,911;50,391;39,383;31,146;28,148;25,260;21,811;20,483;18,547;17,090;19,830;20,264;18,547;18,337;16,886;15,281;14,500;14,500;14,307;17,090;27,903;30,892;23,398;24,090;25,024;22,260;22,486;21,587;35,311;41,902;14,307;25,391;51,911
  02/1979;36,921;26,931;23,398;21,587;21,365;21,587;22,260;22,035;18,971;19,614;21,143;20,702;23,169;25,260;39,660;47,697;40,495;32,170;28,887;28,887;29,884;28,148;28,887;31,913;30,892;24,790;23,859;25,734;---;---;---;18,971;27,387;47,697
  03/1979;22,035;20,702;19,830;22,940;22,260;19,830;20,922;20,702;18,759;20,702;27,903;25,024;44,765;35,311;34,252;34,780;28,640;24,556;24,556;23,169;20,922;21,143;20,047;18,971;35,311;35,845;28,394;26,690;25,734;22,260;20,922;18,759;25,415;44,765
  04/1979;19,399;18,547;17,709;18,759;23,859;29,884;32,945;25,260;23,398;21,143;19,830;18,971;18,127;17,502;16,886;16,886;16,076;16,277;16,277;16,076;15,676;15,084;14,307;15,478;15,281;17,709;16,076;15,876;19,614;23,859;---;14,307;19,092;32,945
  05/1979;22,260;20,483;18,337;23,169;43,325;44,765;31,913;42,754;30,387;26,931;24,323;22,486;22,940;20,922;20,922;19,614;18,337;18,127;17,709;17,090;16,277;16,682;16,277;16,277;16,479;12,798;15,676;14,888;15,084;19,614;22,035;12,798;22,222;44,765
  06/1979;20,264;16,886;17,296;16,682;16,076;15,478;15,281;15,281;15,084;14,888;14,694;14,888;14,115;13,169;14,694;14,307;14,307;14,115;13,734;13,734;13,545;13,169;13,357;13,545;13,169;12,798;12,798;12,983;12,613;12,983;---;12,613;14,531;20,264
  07/1979;12,798;12,798;12,798;12,983;12,066;12,613;12,613;11,706;12,248;14,694;14,115;15,676;13,169;12,613;12,430;12,430;12,248;12,066;11,886;14,888;17,090;18,971;14,694;13,545;13,734;13,545;13,734;13,734;12,983;12,430;12,248;11,706;13,405;18,971
  08/1979;11,528;11,350;11,528;11,528;10,135;10,650;10,650;10,477;10,306;10,477;10,306;10,477;14,694;16,682;18,127;15,478;16,682;14,888;13,924;17,918;22,940;17,709;15,876;15,084;13,357;12,983;12,983;14,500;13,924;12,613;12,613;10,135;13,625;22,940
  09/1979;11,886;12,066;11,528;16,850;15,296;15,106;14,355;13,618;14,169;13,618;13,255;14,541;13,436;16,456;19,705;25,450;23,848;26,148;25,682;23,174;21,413;19,287;21,196;20,339;19,916;19,287;16,850;16,066;15,487;14,729;---;11,528;17,492;26,148
  10/1979;13,984;13,801;13,618;14,169;19,916;20,766;21,848;21,196;43,552;45,561;33,780;27,806;25,218;22,951;22,067;23,174;22,729;19,079;18,053;17,248;15,679;16,261;14,917;14,355;14,355;14,541;13,801;13,618;14,355;13,801;15,487;13,618;20,054;45,561
  11/1979;20,339;25,218;24,302;30,987;27,567;22,951;19,079;18,666;19,916;30,489;45,851;48,491;39,092;32,754;34,039;27,328;23,174;21,630;20,339;18,461;17,448;17,648;20,981;23,398;31,488;38,006;34,039;27,567;25,450;22,951;---;17,448;26,988;48,491
  12/1979;20,766;20,127;19,916;23,174;25,682;23,848;22,287;20,127;19,287;21,413;20,339;29,748;25,914;23,398;20,981;23,623;30,738;26,854;22,729;22,287;23,623;27,328;50,583;54,867;49,085;49,383;59,284;57,375;52,403;40,190;31,740;19,287;30,939;59,284
  01/1980;38,277;42,702;36,665;29,258;28,287;27,328;24,758;24,530;27,091;25,682;31,992;52,403;45,272;42,420;39,366;34,039;30,987;49,383;67,829;69,182;98,335;83,270;65,818;55,178;53,015;52,098;54,247;53,015;46,725;38,820;36,399;24,530;45,302;98,335
  02/1980;36,134;36,399;35,606;33,523;32,754;31,992;31,488;31,740;29,994;29,748;27,567;26,618;25,914;27,091;25,218;26,618;26,618;27,567;33,780;44,984;46,433;41,578;35,606;53,938;77,160;64,490;50,282;50,583;52,708;---;---;25,218;37,729;77,160
  03/1980;46,725;39,092;34,039;30,987;29,502;28,771;29,014;27,806;28,771;29,994;39,366;42,702;42,985;44,696;41,578;48,195;52,098;51,490;50,282;43,268;35,343;32,245;30,489;29,258;26,618;27,091;26,148;25,682;24,988;25,218;24,758;24,758;35,135;52,098
  04/1980;24,758;24,758;35,343;49,383;72,956;85,837;89,181;74,348;52,098;40,743;36,399;36,665;41,021;53,015;60,893;70,204;70,888;61,866;49,982;40,190;37,199;34,819;33,009;31,488;30,738;29,994;29,258;28,287;28,046;27,567;---;24,758;46,031;89,181
  05/1980;27,567;28,771;28,046;29,258;28,528;26,854;26,148;25,682;25,450;25,218;24,988;24,530;24,530;24,988;24,302;23,174;23,848;23,174;23,174;23,174;23,398;22,287;23,623;23,398;21,630;22,951;21,848;21,848;21,848;21,413;20,981;20,981;24,407;29,258
  06/1980;20,766;20,981;21,630;22,507;22,507;21,848;21,413;20,766;19,496;19,916;20,127;19,916;17,850;19,287;18,872;18,256;17,448;17,048;16,850;16,850;16,653;16,653;17,048;17,048;16,850;24,074;47,605;42,139;26,382;21,413;---;16,653;21,340;47,605
  07/1980;19,079;18,666;17,850;17,850;17,850;17,048;16,850;16,653;16,456;16,456;16,261;16,261;14,541;16,261;15,679;14,729;14,917;15,106;15,106;15,296;14,917;14,541;14,541;14,355;14,169;13,255;14,169;13,618;13,075;13,436;12,541;12,541;15,533;19,079
  08/1980;12,718;13,255;13,075;13,075;12,896;12,365;12,896;12,365;12,365;11,670;12,718;11,842;12,015;12,015;11,498;12,190;12,541;12,718;11,670;12,541;12,541;11,670;10,990;11,328;12,015;14,355;13,984;14,169;12,365;12,365;12,365;10,990;12,470;14,355
  09/1980;11,158;10,656;11,670;10,491;10,491;10,326;10,990;9,678;10,000;10,000;10,326;9,678;9,839;11,328;9,046;9,839;9,678;10,163;11,158;12,015;15,679;17,648;16,850;13,436;10,326;11,158;10,326;11,158;10,163;10,822;---;9,046;11,203;17,648
  10/1980;10,326;10,000;9,678;9,203;10,822;8,431;8,736;9,203;11,158;12,896;11,842;15,679;17,648;16,850;13,984;12,541;12,190;10,822;11,842;8,891;9,839;9,678;9,519;9,203;10,326;8,431;9,046;9,360;9,678;9,046;10,656;8,431;10,888;17,648
  11/1980;11,842;7,832;8,736;8,891;9,203;9,839;8,891;15,872;13,436;15,106;17,448;19,287;24,758;15,872;13,436;10,990;10,656;10,326;10,163;29,994;21,848;14,917;14,917;17,248;16,066;19,079;14,169;13,618;11,670;14,541;---;7,832;14,355;29,994
  12/1980;16,653;31,488;55,490;54,247;45,561;36,399;29,014;28,528;29,014;27,328;22,067;31,740;38,006;46,141;45,272;42,139;28,771;24,758;20,766;19,496;17,850;18,053;25,682;22,951;22,729;21,196;20,981;22,507;25,914;28,528;31,488;16,653;30,024;55,490
  01/1981;32,754;25,682;22,951;26,854;33,523;48,195;38,277;28,287;27,328;24,988;25,914;29,748;45,851;76,807;116,822;121,421;146,324;144,970;107,828;78,939;76,807;80,013;73,303;57,059;49,982;44,696;40,743;36,932;35,080;33,009;30,241;22,951;56,817;146,324
  02/1981;29,014;27,806;28,528;27,567;26,618;25,218;27,091;25,218;30,738;27,567;26,854;30,489;32,245;28,046;24,530;22,067;21,848;21,413;21,196;20,981;20,766;22,287;21,196;21,630;21,196;21,630;21,848;20,552;---;---;---;20,552;24,862;32,245
  03/1981;19,287;18,666;18,053;18,053;19,079;23,623;25,682;29,994;28,528;24,988;22,507;22,729;20,127;18,666;18,256;18,256;25,682;30,241;24,074;21,848;23,174;22,067;20,339;19,287;18,461;18,666;19,496;20,339;21,848;24,758;30,987;18,053;22,186;30,987
  04/1981;29,258;23,174;21,196;19,287;19,496;25,450;24,074;21,196;19,705;18,461;17,850;17,448;15,296;18,461;17,048;17,850;20,552;20,766;20,127;18,872;17,850;17,048;16,850;16,653;16,850;17,048;16,653;16,261;16,261;16,261;---;15,296;19,110;29,258
  05/1981;16,456;16,066;15,679;17,248;19,705;19,916;17,448;15,872;15,296;14,917;14,729;14,729;14,355;14,355;14,169;13,984;13,984;13,984;13,984;14,355;13,984;13,984;13,984;13,801;13,618;13,255;8,891;10,491;12,365;18,666;14,541;8,891;14,800;19,916
  06/1981;9,203;17,850;13,255;12,896;12,896;13,255;18,256;24,530;20,981;16,456;15,296;14,541;13,984;13,618;13,436;13,984;15,679;16,850;15,487;14,541;13,801;13,436;13,255;13,075;12,896;12,718;12,718;12,541;12,541;12,365;---;9,203;14,545;24,530
  07/1981;12,190;12,365;12,365;12,718;12,896;12,896;12,190;12,015;11,842;11,670;11,498;11,498;11,498;11,328;11,158;11,158;10,990;10,822;10,822;11,158;11,158;11,158;10,990;10,822;11,670;13,255;13,984;8,583;11,158;10,990;10,822;8,583;11,602;13,984
  08/1981;10,822;10,656;10,656;13,075;12,365;9,678;9,839;10,000;9,519;9,839;10,163;10,000;10,163;9,839;9,678;9,519;10,163;10,000;10,163;10,656;10,326;8,431;9,046;10,656;10,163;9,519;9,203;9,046;8,891;8,891;8,891;8,431;9,995;13,075
  09/1981;8,736;8,891;8,583;9,203;8,891;8,736;8,736;7,251;7,685;7,832;7,980;7,832;7,832;7,685;7,685;7,539;7,251;8,129;8,129;7,832;7,539;7,394;6,826;6,548;6,411;6,826;7,685;7,832;7,832;7,685;---;6,411;7,834;9,203
  10/1981;7,685;7,539;7,980;7,832;7,980;7,980;8,280;9,519;8,891;8,736;8,891;8,891;8,891;8,736;8,736;11,498;9,839;9,360;9,360;13,075;8,891;7,980;7,539;7,394;7,394;7,394;7,394;11,498;12,015;10,990;10,822;7,394;9,000;13,075
  11/1981;9,519;8,736;7,980;12,190;11,842;8,583;7,832;9,839;9,203;12,718;11,158;9,203;11,158;8,891;9,203;7,832;7,539;7,108;7,980;8,736;7,394;8,583;7,832;7,539;7,394;7,685;7,394;7,394;7,251;7,108;---;7,108;8,761;12,718
  12/1981;7,539;8,280;8,891;8,129;8,583;12,541;11,158;10,000;13,075;32,499;29,748;27,328;26,854;26,148;25,682;25,682;26,618;28,287;26,854;25,682;25,218;25,218;24,988;25,218;25,682;24,988;24,758;24,758;24,530;24,530;24,530;7,539;21,419;32,499
  01/1982;24,530;30,241;33,780;28,046;22,067;9,519;9,046;11,158;26,382;27,328;21,848;16,653;13,984;11,842;10,000;9,360;9,203;8,891;8,891;8,736;8,891;9,203;12,896;13,984;11,498;10,000;9,678;9,519;10,656;10,163;9,839;8,736;14,769;33,780
  02/1982;10,000;10,656;12,190;10,990;11,328;12,015;11,842;14,355;13,436;10,656;5,252;3,984;3,683;3,486;3,292;3,102;3,102;3,008;3,008;5,252;5,611;5,142;5,873;5,742;5,873;7,685;8,129;7,685;---;---;---;3,008;7,371;14,355
  03/1982;7,108;8,280;4,925;3,782;3,389;3,197;3,197;3,292;5,142;5,252;13,801;21,413;10,491;7,980;6,411;5,252;4,711;4,818;5,472;5,033;4,500;4,291;10,000;9,203;6,826;7,539;6,140;6,275;6,411;5,362;4,711;3,197;6,587;21,413
  04/1982;4,395;4,086;3,984;3,883;3,683;3,584;3,486;3,389;3,292;3,292;3,197;3,292;3,883;4,188;5,472;6,686;4,818;3,984;3,584;3,389;3,292;3,292;3,197;3,102;3,197;3,102;3,008;3,102;3,102;3,008;---;3,008;3,699;6,686
  05/1982;3,008;3,102;3,008;3,008;2,915;2,915;2,915;2,915;4,925;7,251;7,108;7,108;7,251;7,251;7,251;7,251;7,251;7,251;7,394;7,539;7,394;7,394;7,394;7,394;7,685;8,280;7,832;7,685;7,539;7,394;7,394;2,915;6,194;8,280
  06/1982;7,394;7,394;7,394;7,251;7,394;7,832;7,685;7,539;7,394;7,394;7,394;8,129;9,678;8,891;7,980;9,203;8,583;7,832;7,685;7,539;7,394;8,431;10,326;9,678;8,736;11,328;13,075;10,000;9,046;8,891;---;7,251;8,483;13,075
  07/1982;9,203;9,360;8,280;7,832;7,685;7,539;7,539;7,394;7,394;7,394;7,394;7,251;7,394;7,832;7,685;7,394;7,251;7,251;7,394;7,394;7,394;7,251;7,251;7,251;7,108;7,108;7,108;7,251;7,108;7,251;7,251;7,108;7,522;9,360
  08/1982;7,251;7,251;7,108;7,108;7,394;7,251;7,108;7,108;10,000;32,245;33,523;33,266;33,266;33,009;33,009;31,237;65,818;67,492;67,156;65,153;63,173;61,541;63,501;77,160;74,697;71,919;69,182;71,575;72,956;72,610;71,231;7,108;42,977;77,160
  09/1982;67,492;72,610;44,696;16,653;16,066;15,679;15,679;15,487;15,487;15,487;15,487;15,487;15,679;19,496;19,496;19,496;19,496;19,496;19,705;19,705;19,705;19,496;19,496;19,496;19,496;19,496;19,705;19,916;19,496;19,496;---;15,487;22,489;72,610
  10/1982;15,201;11,756;13,255;13,255;12,896;12,896;12,896;16,261;17,048;16,850;22,287;21,848;30,241;33,009;30,862;29,258;28,287;28,528;28,287;28,046;30,987;29,014;28,528;28,528;29,502;28,528;28,046;28,287;28,046;28,046;27,806;11,756;23,816;33,009
  11/1982;27,806;27,806;27,567;27,567;27,328;27,328;27,328;27,328;27,328;27,328;28,771;28,528;27,806;29,258;31,488;28,046;23,174;22,067;21,630;22,287;22,067;22,287;22,067;21,630;21,413;21,413;21,630;21,630;23,174;22,951;---;21,413;25,268;31,488
  12/1982;23,961;24,074;15,679;14,729;13,075;12,190;16,261;15,106;13,346;12,365;12,015;13,893;15,296;15,487;13,255;14,355;15,106;14,448;14,917;15,296;14,169;13,801;13,801;21,630;17,951;17,248;15,679;14,355;14,729;15,296;15,969;12,015;15,467;24,074
  01/1983;15,679;14,541;13,436;12,718;13,075;17,850;27,328;18,256;15,872;14,355;13,984;13,801;20,981;26,854;27,567;24,988;24,074;28,771;38,820;31,237;45,561;37,737;52,098;51,793;53,938;54,247;54,867;58,964;55,803;54,557;56,116;12,718;31,931;58,964
  02/1983;64,325;96,015;93,525;72,437;65,651;62,845;62,192;63,173;69,862;64,490;75,398;78,404;75,749;75,398;79,654;76,984;74,348;72,610;72,264;71,919;69,182;57,691;56,430;57,059;56,430;60,247;58,326;65,485;---;---;---;56,430;69,575;96,015
  03/1983;63,830;67,492;65,485;66,820;74,697;74,348;99,114;93,906;101,463;135,622;141,381;141,381;140,935;136,502;108,635;100,090;75,749;71,575;71,919;74,348;72,264;70,888;69,862;69,182;69,522;69,182;75,222;71,919;69,522;65,485;54,402;54,402;85,895;141,381
  04/1983;53,938;53,938;53,629;48,787;37,333;36,665;40,328;32,754;29,502;29,258;30,489;31,866;32,754;31,992;31,740;32,499;32,245;32,245;35,737;35,343;34,558;40,328;56,744;57,375;63,995;64,160;60,247;58,009;58,645;57,059;---;29,258;43,139;64,160
  05/1983;56,430;55,803;56,116;33,780;33,266;33,009;33,009;33,009;33,009;33,266;33,009;32,754;34,168;33,780;33,266;33,009;33,009;33,266;33,009;34,558;33,523;33,009;33,523;44,266;50,282;49,682;49,383;34,558;56,902;78,048;140,044;32,754;43,153;140,044
  06/1983;162,718;160,135;160,369;162,954;161,072;164,134;169,604;160,603;156,870;157,800;158,266;157,800;153,861;151,333;131,039;125,234;119,741;90,306;84,366;82,905;82,542;82,542;82,542;79,834;58,009;55,803;55,490;55,490;57,375;55,803;---;55,490;117,885;169,604
  07/1983;55,178;54,867;54,557;54,557;47,311;39,092;39,914;39,640;39,640;39,366;39,640;39,366;39,092;26,854;26,854;26,854;26,854;38,956;56,430;57,850;63,830;55,646;42,985;41,858;41,858;26,265;25,682;25,450;25,218;25,218;25,450;25,218;40,075;63,830
  08/1983;25,450;25,914;25,450;25,450;25,450;25,218;25,218;24,074;24,758;24,988;42,985;43,268;42,702;42,702;42,420;42,420;42,420;42,420;42,139;41,858;41,858;41,998;42,139;41,858;41,858;41,578;41,299;41,021;41,021;40,743;40,466;24,074;36,553;43,268
  09/1983;40,190;41,439;44,409;44,984;47,311;56,116;53,476;49,532;47,311;45,851;45,272;45,561;48,787;45,851;45,272;53,938;47,605;47,605;61,541;59,765;55,334;53,938;54,092;70,204;76,101;68,504;73,303;73,651;72,783;72,264;---;40,190;54,733;76,101
  10/1983;71,919;71,231;71,231;70,545;78,226;80,013;78,226;77,160;76,454;76,454;79,296;78,939;78,226;79,296;80,373;79,296;77,870;78,582;81,454;78,226;77,870;84,183;85,468;89,181;84,733;81,093;79,654;78,939;77,515;77,160;76,807;70,545;78,568;89,181
  11/1983;59,284;53,938;55,490;62,029;77,515;77,338;76,984;77,515;76,630;76,807;78,760;78,226;76,807;76,101;77,515;73,825;43,410;20,552;59,925;73,303;74,348;76,630;75,398;73,303;74,348;73,651;72,264;72,264;71,231;71,919;---;20,552;69,577;78,760
  12/1983;70,204;70,545;69,692;65,984;62,682;52,861;51,187;50,282;42,843;35,869;34,558;35,606;36,134;41,998;42,139;39,914;37,737;40,466;38,548;38,548;44,123;43,695;56,116;57,059;53,015;52,098;53,322;60,086;58,964;58,009;62,682;34,558;50,225;70,545
  01/1984;60,731;58,645;57,533;57,059;56,430;56,116;55,178;54,247;53,629;52,708;51,793;50,884;50,282;35,343;35,080;28,892;20,552;20,339;20,127;33,137;24,074;22,507;25,450;23,174;26,148;27,806;34,688;29,014;28,287;25,450;28,528;20,127;38,833;60,731
  02/1984;25,450;19,183;13,801;13,255;13,075;13,075;12,718;11,842;12,190;12,015;12,015;12,015;11,842;12,015;12,629;12,365;12,541;12,015;11,842;11,670;8,891;8,891;8,736;8,736;9,046;8,736;8,736;8,507;8,129;---;---;8,129;11,930;25,450
  03/1984;8,129;8,129;8,431;8,891;8,891;8,891;9,046;9,046;8,736;8,583;9,203;8,968;8,431;8,431;8,431;8,431;8,431;8,280;8,583;8,280;8,583;8,431;8,431;8,280;8,280;8,280;8,280;8,280;8,280;8,583;8,431;8,129;8,528;9,203
  04/1984;8,431;8,280;8,280;12,190;10,656;9,203;8,736;8,583;8,431;8,431;8,280;8,280;8,280;8,280;8,129;9,839;10,990;22,729;9,046;9,839;9,046;8,736;8,583;8,431;9,124;8,736;9,439;10,408;8,736;8,736;---;8,129;9,496;22,729
  05/1984;8,736;8,968;10,491;8,280;9,519;8,129;7,980;7,251;7,832;6,966;6,826;6,826;7,322;7,980;8,814;7,980;8,583;12,807;9,598;8,583;8,129;7,980;7,980;8,280;8,129;8,280;8,280;8,280;8,355;7,685;7,685;6,826;8,340;12,807
  06/1984;6,411;7,539;7,685;7,685;7,685;7,685;6,686;6,548;9,046;9,203;9,203;8,968;9,519;9,519;9,519;9,519;9,519;9,839;9,203;9,203;9,046;9,046;9,046;9,046;9,046;9,203;9,203;9,203;9,203;9,203;---;6,411;8,714;9,839
  07/1984;9,203;9,203;9,203;9,203;9,203;9,519;9,046;9,046;9,360;9,203;9,203;9,046;9,046;9,046;9,046;9,046;9,046;9,203;9,046;9,046;9,046;9,046;9,046;9,046;9,046;9,046;9,046;9,046;9,046;9,124;8,891;8,891;9,109;9,519
  08/1984;8,891;8,891;10,573;10,408;9,519;9,203;9,046;8,891;8,891;8,891;9,046;9,046;9,203;9,360;9,203;8,891;8,891;8,891;8,891;9,046;9,046;9,046;13,801;11,413;9,839;10,000;9,519;9,203;9,203;9,046;9,839;8,891;9,472;13,801
  09/1984;9,360;9,046;9,046;9,046;9,046;8,891;9,046;9,839;13,165;10,491;9,519;9,360;9,203;9,046;9,046;9,046;8,891;8,891;8,891;8,891;10,906;9,439;9,046;8,891;9,839;9,519;12,986;11,413;9,839;9,360;---;8,891;9,633;13,165
  10/1984;9,203;9,046;9,046;9,046;9,046;8,891;8,891;8,891;8,891;8,891;8,891;8,891;8,736;8,736;8,736;8,736;8,736;8,736;9,519;9,203;9,046;9,046;8,891;8,736;8,736;8,583;7,251;7,108;6,343;5,873;6,966;5,873;8,559;9,519
  11/1984;6,966;6,966;6,826;8,583;8,583;6,826;6,826;6,966;6,826;6,966;6,966;7,251;7,251;6,966;6,966;6,966;6,966;6,966;6,826;7,108;7,394;7,108;6,966;6,966;7,108;7,394;7,251;6,966;6,966;6,826;---;6,826;7,117;8,583
  12/1984;7,251;8,736;9,839;8,736;7,394;7,251;7,394;8,055;7,980;7,539;7,394;7,394;8,204;10,408;11,413;9,519;9,519;12,453;10,990;8,736;8,129;7,980;7,980;7,832;7,685;7,980;9,046;8,129;7,832;7,980;11,158;7,251;8,643;12,453
  01/1985;9,203;10,163;8,968;7,980;7,980;8,660;8,280;20,127;25,682;13,165;11,158;12,015;12,541;14,077;16,066;13,075;14,262;12,541;11,842;11,670;12,541;12,896;15,011;13,801;15,679;15,487;15,106;15,106;14,917;14,917;14,917;7,980;13,220;25,682
  02/1985;15,296;19,916;19,287;20,552;22,507;22,507;23,848;25,914;28,528;27,091;29,871;29,014;32,626;36,665;34,558;34,688;38,006;37,066;36,134;35,606;35,606;38,956;41,299;38,006;37,468;39,229;37,737;38,006;---;---;---;15,296;31,285;41,299
  03/1985;37,468;37,468;37,468;39,229;38,006;42,702;39,914;38,141;37,199;36,665;40,605;40,190;25,682;30,862;12,015;13,801;38,412;53,015;42,279;14,355;17,048;37,737;38,006;37,468;36,798;28,287;25,103;14,635;8,431;8,280;8,129;8,129;30,819;53,015
  04/1985;8,355;7,251;7,108;6,756;7,322;7,539;8,660;9,758;8,431;7,539;7,539;7,685;7,539;7,394;7,539;8,280;8,583;8,431;7,539;7,108;6,966;6,966;6,826;6,826;6,686;6,686;6,826;6,686;6,548;6,548;---;6,548;7,464;9,758
  05/1985;7,394;6,966;6,966;6,411;6,275;6,275;6,275;6,275;6,275;6,275;6,411;6,275;6,275;6,275;6,275;6,275;6,275;6,140;6,140;6,140;7,108;8,891;7,539;6,686;6,411;6,411;6,275;6,275;6,548;6,826;6,826;6,140;6,570;8,891
  06/1985;6,826;6,826;6,826;7,685;7,394;6,966;6,826;6,826;6,826;6,826;6,966;6,966;6,966;6,966;6,966;6,966;6,826;6,826;6,826;6,826;6,686;6,686;6,686;6,686;6,686;6,686;6,686;6,686;6,548;6,548;---;6,548;6,850;7,685
  07/1985;6,411;6,411;9,519;9,839;9,839;13,618;13,801;13,801;11,842;11,670;11,498;11,498;11,498;11,498;11,498;11,498;11,328;11,328;11,328;11,328;11,158;11,158;10,990;10,990;14,729;14,729;14,729;14,729;15,011;13,075;14,355;6,411;11,829;15,011
  08/1985;14,541;14,729;14,729;14,729;14,729;14,729;14,541;14,541;14,541;14,541;14,541;14,541;14,541;13,984;14,541;14,541;14,541;14,541;14,541;14,355;14,355;14,355;14,729;14,541;14,541;14,355;14,355;14,355;14,355;14,355;14,541;13,984;14,511;14,729
  09/1985;14,541;13,255;8,583;8,891;9,519;9,360;8,583;8,280;7,980;7,980;7,980;9,203;12,365;14,355;14,355;14,355;14,355;14,355;14,355;14,355;14,355;14,355;14,355;19,665;19,665;21,823;21,823;21,823;21,823;21,823;---;7,980;13,951;21,823
  10/1985;21,823;21,604;21,604;21,604;21,604;21,604;21,604;21,823;21,604;23,155;23,155;22,931;22,931;22,931;22,931;22,708;22,708;22,708;22,708;22,708;22,708;22,708;22,708;22,708;22,708;22,486;22,486;22,486;23,155;25,434;24,058;21,604;22,584;25,434
  11/1985;22,931;22,931;24,973;17,893;8,888;8,174;7,863;9,130;11,150;11,150;11,150;10,976;19,033;19,243;18,616;19,243;19,243;17,996;15,200;15,200;12,937;12,482;11,150;11,150;11,325;11,854;11,325;10,632;7,557;7,557;---;7,557;13,965;24,973
  12/1985;7,405;7,405;7,557;8,647;7,863;7,557;7,557;7,557;7,180;6,810;6,810;6,591;7,405;7,557;7,710;9,049;11,325;11,325;7,710;7,557;7,557;7,710;7,557;7,557;9,130;8,174;9,955;8,647;8,174;7,863;7,863;6,591;8,025;11,325
  01/1986;7,863;7,863;8,174;7,863;7,863;7,863;7,633;7,255;7,255;7,255;7,557;10,976;8,888;8,018;7,710;7,863;7,557;7,557;8,489;7,710;7,557;7,557;7,405;9,130;8,096;8,647;11,150;9,130;8,018;7,710;7,557;7,255;8,102;11,150
  02/1986;7,405;7,405;7,710;7,710;8,647;8,018;7,863;7,863;7,710;7,710;7,557;7,557;7,557;7,557;10,976;12,663;9,788;8,647;9,955;9,293;13,213;7,405;5,949;5,519;4,983;6,736;5,949;8,807;---;---;---;4,983;8,148;13,213
  03/1986;6,663;9,212;7,031;6,957;7,941;6,957;7,105;7,941;8,018;8,018;7,557;6,231;5,949;5,671;5,519;8,331;8,489;8,807;8,968;9,130;8,968;8,807;8,968;10,632;9,871;10,039;8,331;7,710;7,105;8,331;7,710;5,519;7,967;10,632
  04/1986;7,405;7,255;7,105;6,957;6,957;6,957;6,957;6,810;6,663;6,663;6,663;6,957;6,957;6,810;7,557;9,622;7,633;7,105;6,957;6,810;6,810;6,810;6,663;6,374;6,374;6,374;7,255;7,255;6,736;6,374;---;6,374;6,994;9,622
  05/1986;6,374;6,374;6,231;6,231;6,231;6,090;6,231;6,374;6,374;5,089;5,196;4,930;7,557;5,465;4,983;4,773;5,303;5,411;7,710;6,090;8,807;6,736;5,671;5,411;5,196;5,196;7,180;5,810;5,411;5,196;9,130;4,773;6,089;9,130
  06/1986;7,180;6,090;5,671;5,411;5,303;5,196;5,196;5,196;5,089;5,089;5,089;4,983;4,983;4,983;4,983;4,878;4,878;4,878;4,878;4,773;4,878;4,878;4,878;4,878;4,878;4,983;5,949;5,949;5,949;5,949;---;4,773;5,263;7,180
