,y_valid,q_pred0,q_pred1,q_pred2,q_pred3
644,6.02,6.440000000000001,7.85117,6.3899364,5.0709133
645,10.21,6.02,7.4324994,6.3943615,5.3743014
646,10.34,10.21,10.103516,12.210377,10.957653
647,8.09,10.34,11.417584,9.106005,8.03513
648,6.85,8.09,8.930369,7.735922,7.215124
649,6.06,6.85,8.5208845,6.786728,6.245854
650,5.420000000000001,6.06,7.806258,6.2249026,5.1803026
651,5.32,5.420000000000001,8.519467,5.651964,4.8237658
652,4.750000000000001,5.32,8.436874,5.8378778,5.036992
653,4.48,4.750000000000001,8.498208,4.937673,4.147585
654,4.32,4.48,7.185873,5.0725207,3.8441575
655,4.21,4.32,4.5482125,4.772802,3.147687
656,5.190000000000001,4.21,4.5662737,4.789667,3.0301561
657,5.690000000000001,5.190000000000001,7.2452874,6.146208,5.0537047
658,3.54,5.690000000000001,9.452518,6.0729194,4.4804845
659,3.92,3.54,7.157563,3.1160085,2.3722804
660,3.83,3.92,5.9632025,5.326372,3.6339061
661,3.71,3.83,6.1597056,3.9450488,2.198478
662,3.7200000000000006,3.71,5.1957583,4.5626,3.091417
663,5.36,3.7200000000000006,4.7990375,4.2256436,3.0966089
664,2.79,5.36,7.9955645,6.703085,4.7990956
665,3.81,2.79,6.5112042,1.7107646,0.3868177
666,5.440000000000001,3.81,7.9901505,5.9709353,3.6444938
667,2.75,5.440000000000001,9.077023,5.824031,4.48994
668,3.66,2.75,4.556333,2.1548269,0.18765059
669,3.7200000000000006,3.66,7.27464,5.5097537,4.290196
670,3.6,3.7200000000000006,9.527283,3.6873393,2.1716552
671,3.55,3.6,5.7862296,4.5555983,2.5288413
672,3.43,3.55,5.657991,3.9924576,2.1917987
673,3.52,3.43,5.353417,4.145083,2.6250243
674,3.65,3.52,5.551881,4.1839027,2.3483222
675,3.85,3.65,4.141313,4.343192,2.6728153
676,4.0,3.85,3.2949674,4.531655,2.7515197
677,4.13,4.0,3.9941318,4.63379,2.9682636
678,4.47,4.13,4.3678327,4.7570715,3.4307566
679,4.29,4.47,4.0364714,5.161158,3.552871
680,4.08,4.29,4.2146273,4.6806054,3.0832672
681,3.9500000000000006,4.08,4.9585238,4.6607413,3.3652287
682,3.9000000000000004,3.9500000000000006,3.7601871,4.4907084,2.4396267
683,3.8399999999999994,3.9000000000000004,5.1787553,4.5175786,3.0362692
684,3.69,3.8399999999999994,6.613872,4.4186206,3.0569263
685,3.62,3.69,4.893447,4.265612,2.3735428
686,3.56,3.62,6.4328513,4.2549114,2.6405141
687,3.49,3.56,5.9871345,4.1772904,2.8682299
688,3.39,3.49,4.268887,4.123749,2.2485023
689,3.47,3.39,3.9006283,4.014665,2.3063073
690,3.52,3.47,2.9000409,4.1882653,2.772608
691,3.4,3.52,4.170509,4.1593633,2.2621114
692,3.32,3.4,5.0756435,4.008376,2.151666
693,3.26,3.32,3.733471,3.9825728,2.558902
694,3.21,3.26,2.2630012,3.9135275,2.1178312
695,3.22,3.21,2.7636425,3.8830082,2.1212125
696,3.09,3.22,3.5288181,3.9143066,2.3846643
697,2.91,3.09,2.9400387,3.7151313,1.8049171
698,2.8,2.91,2.5046127,3.5771787,2.1118233
