data,pme,etp,qmon,qjus
1987-11-08,0.8,4.92,,
1987-11-09,5.9,5.06,,
1987-11-10,1.0,4.66,,
1987-11-11,0.3,4.92,,
1987-11-12,0.0,4.94,,
1987-11-13,1.8,4.82,,
1987-11-14,42.5,4.77,,
1987-11-15,47.3,5.06,,
1987-11-16,7.0,4.89,,
1987-11-17,0.3,4.98,,
1987-11-18,0.0,4.91,,
1987-11-19,0.1,4.85,,
1987-11-20,0.6,4.98,,
1987-11-21,0.0,4.93,,
1987-11-22,0.0,4.94,,
1987-11-23,1.2,5.12,,
1987-11-24,0.8,5.16,,
1987-11-25,22.7,5.08,,
1987-11-26,4.2,5.07,,
1987-11-27,0.1,5.07,,
1987-11-28,0.4,5.02,,
1987-11-29,0.1,5.1,,
1987-11-30,0.6,5.0,,
1987-12-01,0.6,4.98,,
1987-12-02,0.0,5.03,,
1987-12-03,4.7,4.95,,
1987-12-04,18.5,4.74,,
1987-12-05,5.0,4.75,,
1987-12-06,1.1,4.76,,
1987-12-07,1.8,4.8,,
1987-12-08,0.6,4.86,,
1987-12-09,4.4,4.77,,
1987-12-10,0.1,4.92,,
1987-12-11,0.1,4.87,,
1987-12-12,0.6,4.89,,
1987-12-13,6.3,4.87,,
1987-12-14,0.5,4.82,,
1987-12-15,0.0,4.79,,
1987-12-16,0.4,4.89,,
1987-12-17,14.6,4.84,,
1987-12-18,26.9,4.79,,
1987-12-19,5.8,4.93,,
1987-12-20,0.2,4.89,,
1987-12-21,0.8,4.72,,
1987-12-22,0.7,4.69,,
1987-12-23,0.1,4.73,,
1987-12-24,0.2,4.72,,
1987-12-25,0.1,4.91,,
1987-12-26,0.0,5.01,,
1987-12-27,0.3,5.06,,
1987-12-28,7.6,4.92,,
1987-12-29,3.3,4.89,,
1987-12-30,5.7,4.85,,
1987-12-31,6.5,4.89,,
1988-01-01,0.4,4.72,,
1988-01-02,0.0,4.7,,
1988-01-03,0.0,4.74,,
1988-01-04,0.3,4.74,,
1988-01-05,0.0,4.74,,
1988-01-06,15.6,4.73,,
1988-01-07,16.1,4.73,,
1988-01-08,0.0,4.85,,
1988-01-09,0.1,4.81,,
1988-01-10,8.3,4.72,,
1988-01-11,3.2,4.67,,
1988-01-12,0.6,4.59,,
1988-01-13,0.4,4.62,,
1988-01-14,2.2,4.73,,
